iter	Passed	Remaining
402	11842	17543
403	11865	17503
404	11891	17470
405	11922	17443
406	11945	17405
407	11975	17376
408	12001	17342
409	12028	17308
410	12053	17273
411	12076	17235
412	12107	17208
413	12138	17181
414	12174	17162
415	12207	17138
416	12241	17115
417	12276	17092
418	12306	17065
419	12346	17050
420	12373	17016
421	12398	16981
422	12425	16948
423	12450	16914
424	12474	16876
425	12501	16844
426	12529	16814
427	12556	16781
428	12583	16749
429	12612	16719
430	12642	16690
431	12667	16655
432	12696	16625
433	12720	16589
434	12744	16553
435	12770	16519
436	12795	16485
437	12823	16454
438	12847	16417
439	12872	16383
440	12900	16352
441	12924	16315
442	12952	16285
443	12978	16252
444	13007	16222
445	13035	16191
446	13058	16155
447	13089	16127
448	13116	16095
449	13139	16058
450	13167	16029
451	13192	15994
452	13224	15969
453	13253	15939
454	13282	15910
455	13307	15875
456	13330	15838
457	13358	15808
458	13381	15772
459	13412	15744
460	13437	15711
461	13468	15684
462	13496	15653
463	13525	15623
464	13554	15595
465	13578	15560
466	13608	15531
467	13632	15496
468	13666	15473
469	13696	15445
470	13729	15419
471	13757	15389
472	13785	15359
473	13813	15328
474	13839	15296
475	13881	15281
476	13915	15257
477	13942	15226
478	13969	15194
479	14000	15167
480	14028	15136
481	14090	15142
482	14144	15140
483	14208	15148
484	14244	15125
485	14275	15098
486	14306	15069
487	14342	15048
488	14377	15024
489	14403	14991
490	14430	14959
491	14461	14931
492	14497	14908
493	14535	14888
494	14568	14862
495	14595	14831
496	14623	14800
497	14655	14772
498	14681	14740
499	14725	14725
500	14753	14694
501	14783	14666
502	14825	14648
503	14863	14627
504	14894	14599
505	14939	14585
506	14976	14562
507	15006	14533
508	15040	14508
509	15072	14481
510	15109	14459
511	15139	14429
512	15173	14404
513	15203	14374
514	15235	14347
515	15263	14316
516	15295	14289
517	15325	14260
518	15358	14233
519	15386	14203
520	15415	14172
521	15445	14143
522	15468	14108
523	15495	14075
524	15519	14041
525	15545	14008
526	15579	13982
527	15606	13951
528	15635	13921
529	15661	13888
530	15691	13859
531	15715	13825
532	15743	13794
533	15772	13764
534	15802	13735
535	15835	13708
536	15860	13674
537	15895	13649
538	15923	13619
539	15958	13594
540	15985	13562
541	16021	13538
542	16047	13505
543	16080	13479
544	16105	13445
545	16130	13412
546	16158	13382
547	16181	13347
548	16216	13321
549	16245	13291
550	16270	13258
551	16299	13228
552	16328	13198
553	16358	13169
554	16384	13137
555	16413	13106
556	16437	13073
557	16471	13047
558	16499	13016
559	16525	12984
560	16553	12953
561	16579	12921
562	16607	12890
563	16635	12859
564	16669	12833
565	16695	12801
566	16719	12768
567	16746	12736
568	16773	12705
569	16800	12673
570	16828	12643
571	16859	12615
572	16890	12586
573	16923	12560
574	16950	12528
575	16977	12497
576	17007	12468
577	17032	12435
578	17059	12404
579	17091	12376
580	17121	12347
581	17155	12321
582	17187	12293
583	17212	12261
584	17238	12228
585	17265	12197
586	17293	12167
587	17323	12138
588	17352	12108
589	17386	12082
590	17414	12051
591	17446	12024
592	17473	11992
593	17500	11961
594	17528	11931
595	17552	11897
596	17588	11872
597	17616	11842
598	17649	11815
599	17675	11783
600	17707	11756
601	17734	11724
602	17764	11695
603	17796	11667
604	17851	11654
605	17875	11622
606	17906	11593
607	17934	11562
608	17962	11532
609	17991	11502
610	18018	11471
611	18057	11448
612	18091	11421
613	18123	11393
614	18150	11362
615	18179	11332
616	18205	11300
617	18237	11272
618	18263	11241
619	18296	11213
620	18322	11182
621	18352	11153
622	18381	11123
623	18410	11093
624	18444	11066
625	18475	11038
626	18507	11010
627	18534	10979
628	18569	10953
629	18597	10922
630	18623	10890
631	18648	10858
632	18679	10830
633	18710	10801
634	18741	10772
635	18771	10743
636	18798	10712
637	18825	10681
638	18852	10650
639	18884	10622
640	18915	10593
641	18948	10566
642	18975	10535
643	19010	10509
644	19036	10477
645	19064	10447
646	19089	10415
647	19113	10382
648	19143	10353
649	19173	10323
650	19198	10292
651	19224	10260
652	19247	10228
653	19275	10197
654	19299	10165
655	19326	10134
656	19355	10105
657	19385	10075
658	19419	10048
659	19445	10017
660	19473	9987
661	19501	9957
662	19530	9927
663	19555	9895
664	19586	9867
665	19614	9836
666	19637	9804
667	19667	9775
668	19691	9742
669	19715	9710
670	19746	9682
671	19771	9650
672	19802	9621
673	19832	9592
674	19861	9563
675	19891	9533
676	19918	9503
677	19946	9473
678	19971	9441
679	19999	9411
680	20024	9380
681	20060	9353
682	20088	9323
683	20116	9293
684	20142	9262
685	20169	9232
686	20198	9202
687	20226	9172
688	20255	9143
689	20283	9113
690	20313	9083
691	20340	9053
692	20365	9021
693	20395	8993
694	20421	8962
695	20447	8931
696	20477	8901
697	20511	8874
698	20539	8844
699	20566	8814
700	20592	8783
701	20615	8751
702	20646	8722
703	20671	8691
704	20702	8662
705	20736	8635
706	20765	8605
707	20789	8574
708	20816	8543
709	20842	8512
710	20866	8481
711	20892	8450
712	20916	8419
713	20940	8387
714	20972	8359
715	20998	8328
716	21023	8298
717	21050	8267
718	21075	8236
719	21100	8205
720	21136	8178
721	21171	8151
722	21200	8122
723	21230	8093
724	21262	8065
725	21294	8036
726	21316	8004
727	21340	7973
728	21369	7944
729	21394	7913
730	21424	7884
731	21449	7852
732	21473	7821
733	21500	7791
734	21524	7760
735	21554	7731
736	21582	7701
737	21614	7673
738	21638	7642
739	21665	7612
740	21695	7583
741	21721	7552
742	21753	7524
743	21781	7494
744	21814	7466
745	21845	7437
746	21875	7408
747	21901	7378
748	21927	7348
749	21956	7318
750	21982	7288
751	22014	7260
752	22038	7229
753	22070	7200
754	22094	7169
755	22121	7139
756	22150	7110
757	22177	7080
758	22207	7051
759	22233	7021
760	22268	6993
761	22295	6963
762	22321	6933
763	22350	6904
764	22376	6873
765	22401	6843
766	22435	6815
767	22466	6786
768	22492	6756
769	22518	6726
770	22548	6697
771	22576	6667
772	22604	6637
773	22630	6607
774	22654	6577
775	22687	6548
776	22720	6520
777	22747	6490
778	22773	6460
779	22800	6430
780	22827	6401
781	22857	6371
782	22885	6342
783	22909	6311
784	22941	6283
785	22962	6251
786	22989	6222
787	23017	6192
788	23041	6161
789	23071	6132
790	23096	6102
791	23122	6072
792	23148	6042
793	23179	6013
794	23204	5983
795	23229	5953
796	23261	5924
797	23285	5894
798	23311	5864
799	23343	5835
800	23368	5805
801	23398	5776
802	23423	5746
803	23449	5716
804	23477	5686
805	23501	5656
806	23537	5629
807	23562	5599
808	23591	5569
809	23620	5540
810	23646	5510
811	23670	5480
812	23694	5449
813	23725	5421
814	23753	5391
815	23788	5364
816	23817	5334
817	23844	5305
818	23870	5275
819	23898	5245
820	23927	5216
821	23953	5187
822	23978	5156
823	24001	5126
824	24024	5096
825	24057	5067
826	24081	5037
827	24111	5008
828	24137	4978
829	24164	4949
830	24189	4919
831	24214	4889
832	24245	4860
833	24271	4830
834	24296	4801
835	24322	4771
836	24346	4741
837	24374	4711
838	24398	4681
839	24422	4651
840	24453	4623
841	24480	4593
842	24507	4564
843	24536	4535
844	24564	4505
845	24594	4476
846	24621	4447
847	24649	4418
848	24684	4390
849	24709	4360
850	24733	4330
851	24760	4301
852	24785	4271
853	24807	4241
854	24837	4212
855	24866	4183
856	24898	4154
857	24923	4124
858	24949	4095
859	24977	4066
860	24999	4035
861	25030	4007
862	25057	3977
863	25084	3948
864	25113	3919
865	25144	3890
866	25170	3861
867	25195	3831
868	25221	3802
869	25246	3772
870	25272	3743
871	25302	3714
872	25339	3686
873	25372	3657
874	25396	3628
875	25425	3599
876	25449	3569
877	25476	3539
878	25500	3510
879	25529	3481
880	25563	3453
881	25591	3423
882	25626	3395
883	25651	3366
884	25678	3336
885	25701	3306
886	25727	3277
887	25760	3249
888	25786	3219
889	25813	3190
890	25838	3160
891	25865	3131
892	25891	3102
893	25916	3072
894	25943	3043
895	25969	3014
896	25999	2985
897	26023	2955
898	26047	2926
899	26082	2898
900	26114	2869
901	26152	2841
902	26186	2812
903	26227	2785
904	26257	2756
905	26295	2728
906	26324	2699
907	26352	2670
908	26384	2641
909	26415	2612
910	26456	2584
911	26487	2555
912	26514	2526
913	26545	2497
914	26574	2468
915	26611	2440
916	26646	2411
917	26683	2383
918	26717	2354
919	26757	2326
920	26801	2298
921	26836	2270
922	26878	2242
923	26920	2214
924	26966	2186
925	27006	2158
926	27046	2129
927	27077	2100
928	27109	2071
929	27149	2043
930	27176	2014
931	27209	1985
932	27234	1955
933	27259	1926
934	27285	1896
935	27316	1867
936	27342	1838
937	27376	1809
938	27402	1780
939	27427	1750
940	27455	1721
941	27479	1691
942	27513	1663
943	27538	1633
944	27570	1604
945	27599	1575
946	27627	1546
947	27653	1516
948	27677	1487
949	27707	1458
950	27732	1428
951	27760	1399
952	27786	1370
953	27815	1341
954	27847	1312
955	27873	1282
956	27906	1253
957	27932	1224
958	27966	1195
959	27994	1166
960	28023	1137
961	28050	1108
962	28076	1078
963	28102	1049
964	28127	1020
965	28156	991
966	28179	961
967	28203	932
968	28235	903
969	28261	874
970	28291	844
971	28314	815
972	28339	786
973	28367	757
974	28391	727
975	28420	698
976	28441	669
977	28465	640
978	28494	611
979	28518	582
980	28548	552
981	28578	523
982	28604	494
983	28632	465
984	28661	436
985	28690	407
986	28716	378
987	28746	349
988	28773	320
989	28796	290
990	28822	261
991	28846	232
992	28887	203
993	28913	174
994	28945	145
995	28973	116
996	29003	87
997	29030	58
998	29057	29
999	29091	0
